country,taxes
Denmark,33.6709598218165
Sweden,28.1309958240849
New Zealand,27.4841925397089
South Africa,26.948876540079603
Greece,25.9719369265181
United Kingdom,25.523503536041304
Austria,25.3552369771872
Italy,24.634790608368302
Israel,24.579623305461602
Cyprus,24.1665342627952
France,23.619888544611303
Belgium,23.3997209593938
Hungary,23.1775351555229
Netherlands,23.085541342769602
Norway,22.4775458505266
Portugal,22.370587976220698
Australia,21.915858625435
Croatia,21.5627731110784
Estonia,20.9927107384988
Finland,20.7765920181751
Bosnia and Herzegovina,20.2593374095498
Bulgaria,20.1081515255189
Ukraine,20.0345254939706
Slovakia,18.7118779603018
Slovenia,18.3903854285229
Ireland,18.270065966569398
Turkey,17.8494731591829
Chile,17.462826293603698
The former Yugoslav Republic of Macedonia,17.1611135905492
Poland,16.7966336760079
Lithuania,16.6366224898438
Romania,15.491428620052499
Lebanon,15.3272322664641
Jordan,15.026977841668902
Czechia,14.8773583802878
Thailand,14.7816935281654
Colombia,14.658915578840402
Republic of Korea,14.4938185341627
Singapore,14.0473782042035
Spain,13.722180814164698
Brazil,13.615780876238999
Philippines,13.593793749028402
Mexico,13.048923522174801
Belarus,13.0190056104974
Malaysia,12.95221278164
Canada,12.7154317836521
Sri Lanka,12.5312523431743
United States of America,11.7642666978839
Japan,11.625407997913198
Germany,11.4719613927932
India,11.1799218352875
Argentina,10.955501490436301
Switzerland,10.401162657241802
Russian Federation,10.288405674018302
Indonesia,9.8772930803788
China,9.419318202271429
Saudi Arabia,3.38483623653337
United Arab Emirates,0.0664571906833831
"China, Hong Kong SAR",""
Egypt,""
Iran (Islamic Republic of),""
Pakistan,""
Qatar,""
Serbia,""
Venezuela (Bolivarian Republic of),""
Vietnam,""
