country,taxes
Saudi Arabia,10.2513563494886
Jordan,4.841143745217691
Lebanon,4.59676966111758
Israel,4.4325638900397095
Russian Federation,4.23340736959348
Pakistan,3.76619210655443
Ukraine,3.2414928995749106
Colombia,3.1862726276321296
Singapore,3.1548782818950403
United States of America,3.1090104054349603
Iran (Islamic Republic of),3.10518416947631
Republic of Korea,2.56884353517412
Greece,2.51912140468631
India,2.50962455841482
France,2.34967851446849
Vietnam,2.2679695552446697
Sri Lanka,2.14799913812899
Turkey,2.06814147502603
Estonia,2.02836226346766
Australia,2.00796639339341
Serbia,1.95935588331478
Chile,1.9356127328857198
China,1.8965104068693999
Poland,1.8959838691023898
United Kingdom,1.7710938428571499
Romania,1.71954054901384
Lithuania,1.71553862681485
Portugal,1.6699769206106498
Cyprus,1.62751716003059
Norway,1.6178237818885401
Croatia,1.42558734937722
Egypt,1.42260927104117
Bulgaria,1.42170625732142
Brazil,1.4195266380701699
Thailand,1.3685609353213
Italy,1.36652876351231
Finland,1.36568934476396
Canada,1.2933951067783702
Germany,1.2341411022353501
Spain,1.2259930602176599
New Zealand,1.2084632895300902
Philippines,1.1975353534869098
Belarus,1.16241694312684
Netherlands,1.15852698874429
Denmark,1.1460161693832198
Malaysia,1.11654055241519
Slovakia,1.10193325763504
Hungary,1.05016762431816
South Africa,1.04366339589233
Sweden,1.0335017217020899
The former Yugoslav Republic of Macedonia,0.990700534450902
Slovenia,0.9820473470246899
Czechia,0.969085790261929
Japan,0.930768157014813
Belgium,0.910370732936129
Bosnia and Herzegovina,0.906093302475231
Argentina,0.856137916373543
Indonesia,0.804336712672088
Austria,0.7561790419805479
Switzerland,0.681602395155031
Mexico,0.502372222667342
Venezuela (Bolivarian Republic of),0.48784414488216293
Ireland,0.31063192898547803
"China, Hong Kong SAR",""
Qatar,""
United Arab Emirates,""
Argentina,""
Australia,""
Austria,""
Belarus,""
Belgium,""
Bosnia and Herzegovina,""
Brazil,""
Bulgaria,""
Canada,""
Chile,""
"China, Hong Kong SAR",""
China,""
Colombia,""
Croatia,""
Cyprus,""
Czechia,""
Denmark,""
Egypt,""
Estonia,""
Finland,""
France,""
Germany,""
Greece,""
Hungary,""
India,""
Indonesia,""
Iran (Islamic Republic of),""
Ireland,""
Israel,""
Italy,""
Japan,""
Jordan,""
Lebanon,""
Lithuania,""
Malaysia,""
Mexico,""
Netherlands,""
New Zealand,""
Norway,""
Pakistan,""
Philippines,""
Poland,""
Portugal,""
Qatar,""
Republic of Korea,""
Romania,""
Russian Federation,""
Saudi Arabia,""
Serbia,""
Singapore,""
Slovakia,""
Slovenia,""
South Africa,""
Spain,""
Sri Lanka,""
Sweden,""
Switzerland,""
Thailand,""
The former Yugoslav Republic of Macedonia,""
Turkey,""
Ukraine,""
United Arab Emirates,""
United Kingdom,""
United States of America,""
Venezuela (Bolivarian Republic of),""
Vietnam,""
