country,population,gdp,gdpPerCapita,unemployment,populationGrowthRate,urbanPop,healthTotal,educationTotal,internetUsers,qualityOfLifeI,PPI,SafetyI,HealthI,propPriceToIncome,affordabilityI,costI,costPlusRentI,lifeExpectancy,militaryTotal,taxes
Argentina,44271,632343,14564.5,6.5,1.0,91.8,1.0,4.8,5.3,256,139.59,58.4,37.37,73.3,12.07,0.3,52.57,34.05,76.372,0.856137916373543
Australia,24451,1230859,51352.2,5.5,1.5,89.4,1.5,9.4,5.2,948,176.54,101.94,57.58,74.25,9.24,1.41,80.66,62.39,82.5,2.00796639339341
Austria,8736,376967,44117.7,6.2,0.6,66.0,0.4,11.2,5.5,118,190.37,95.66,80.75,80.91,9.66,1.69,71.52,49.64,81.64390243902442,0.7561790419805479
Belarus,9468,54609,5750.8,0.5,~0.0,76.7,~0.0,5.7,4.9,25,119.23,36.43,77.74,53.76,18.73,0.17,33.84,23.47,74.12926829268291,1.16241694312684
Belgium,11429,455107,40277.8,8.3,0.6,97.9,0.5,10.6,6.6,37,160.52,91.02,55.49,78.92,6.96,2.24,75.36,53.44,81.4926829268293,0.910370732936129
Bosnia and Herzegovina,3507,16251,4265.0,25.4,-1.0,39.8,0.1,9.6,-99,91,139.14,51.29,59.03,61.49,11.35,0.95,35.05,21.23,77.128,0.906093302475231
Brazil,209288,1772591,8528.3,12.4,0.9,85.7,1.2,8.3,6.0,990,96.15,42.38,29.38,51.7,16.96,0.45,53.07,35.07,75.456,1.4195266380701699
Bulgaria,7085,48953,6846.8,8.1,-0.6,73.9,-0.3,8.4,4.1,104,138.2,51.4,59.82,54.03,9.07,1.29,36.49,23.27,74.81463414634149,1.42170625732142
Canada,36624,1552808,43205.6,7.1,1.0,81.8,1.2,10.4,5.3,122,167.18,108.01,60.75,69.23,6.4,2.37,70.16,50.83,81.94878048780491,1.2933951067783702
Chile,18055,240796,13416.2,6.8,0.9,89.5,1.1,7.8,4.9,197,136.2,61.28,52.5,60.97,10.67,1.2,50.09,33.48,79.90899999999999,1.9356127328857198
"China, Hong Kong SAR",7365,309236,42431.0,3.5,0.6,100.0,0.7,-99.0,3.3,64,94.45,81.45,79.32,67.99,36.15,0.44,79.96,81.93,84.6804878048781,""
China,1409517,11158457,8109.1,4.6,0.5,55.6,3.0,5.5,-99,1080,90.95,67.84,66.1,62.25,23.29,0.53,44.76,32.26,76.47,1.8965104068693999
Colombia,49066,292080,6056.1,10.5,1.0,76.4,1.7,7.2,4.5,835,115.38,37.63,48.31,65.79,19.43,0.35,34.45,23.06,76.925,3.1862726276321296
Croatia,4189,48676,11479.4,11.7,-0.4,59.0,0.1,7.8,4.6,176,170.63,60.71,72.2,65.49,10.91,1.12,48.0,29.83,77.8268292682927,1.42558734937722
Cyprus,1180,19561,21941.9,10.3,0.9,66.9,0.9,7.4,6.1,72,166.64,95.92,67.54,54.23,5.21,2.51,54.07,34.04,80.672,1.62751716003059
Czechia,10618,185156,17561.7,3.9,0.1,73.0,0.3,7.4,4.1,53,165.41,76.22,69.82,74.09,10.7,1.53,41.22,28.57,78.9780487804878,0.969085790261929
Denmark,5734,301308,53149.3,6.0,0.5,87.7,0.6,10.8,8.6,47,184.92,98.76,78.87,75.45,8.2,1.91,83.02,60.01,81.10243902439029,1.1460161693832198
Egypt,97553,315917,3452.3,11.5,2.2,43.1,1.7,5.6,...,156,91.81,29.39,47.14,43.73,10.66,0.72,22.36,14.05,71.656,1.42260927104117
Estonia,1310,22460,17112.0,7.2,-0.3,67.5,-0.4,6.4,5.5,23,171.09,68.48,77.0,71.3,10.54,1.45,49.5,32.47,78.0926829268293,2.02836226346766
Finland,5523,231960,42148.1,8.9,0.4,84.2,0.5,9.7,7.2,36,182.93,114.97,75.37,74.85,7.6,2.25,73.06,50.96,81.63170731707321,1.36568934476396
France,64980,2418946,36304.2,9.8,0.4,79.5,0.8,11.5,5.5,278,160.25,87.29,56.34,78.62,11.58,1.35,74.89,50.9,82.57560975609759,2.34967851446849
Germany,82114,3363600,41686.2,4.2,0.2,75.3,0.2,11.3,5.0,116,189.74,124.88,67.97,76.74,7.46,2.18,65.5,46.26,80.9926829268293,1.2341411022353501
Greece,11160,194860,17788.0,23.0,-0.4,78.0,0.5,8.1,...,374,148.32,58.24,59.68,53.92,8.33,1.6,55.87,33.98,81.2878048780488,2.51912140468631
Hungary,9722,121715,12350.6,4.5,-0.3,71.2,0.5,7.4,4.7,66,138.82,47.52,61.61,53.46,11.2,1.03,42.77,28.35,75.8170731707317,1.05016762431816
India,1339180,2116239,1614.2,3.4,1.2,32.7,2.4,4.7,3.8,1052,101.52,76.73,56.04,69.18,10.28,0.81,25.08,16.31,69.165,2.50962455841482
Indonesia,263991,861934,3346.5,5.8,1.2,53.7,2.7,2.8,3.6,1281,62.02,27.61,50.32,64.8,21.03,0.4,41.11,26.99,71.282,0.804336712672088
Iran (Islamic Republic of),81163,398563,5038.1,11.3,1.2,73.4,2.1,7.5,2.9,134,97.17,43.18,49.1,51.55,13.5,0.36,38.26,28.09,76.271,3.10518416947631
Ireland,4762,283716,60513.6,7.6,0.3,63.2,1.6,7.8,5.3,50,166.9,103.52,54.23,53.33,7.02,1.97,76.98,59.56,82.1560975609756,0.31063192898547803
Israel,8322,299413,37129.4,5.9,1.6,92.1,1.4,7.8,5.8,174,157.88,94.47,70.99,74.78,10.87,1.39,77.74,54.11,82.55121951219509,4.4325638900397095
Italy,59360,1821580,30462.4,11.4,-0.1,69.0,0.4,9.2,4.1,359,142.52,71.83,55.34,66.31,12.39,1.21,83.7,53.89,82.94634146341471,1.36652876351231
Japan,127484,4383076,34628.7,3.0,-0.1,93.5,0.6,10.2,3.6,404,147.49,102.52,79.11,78.63,12.68,1.37,85.28,57.62,84.099756097561,0.930768157014813
Jordan,9702,37517,4940.1,13.4,4.9,83.7,3.8,7.5,-99,113,117.47,42.27,56.86,71.92,7.96,1.3,59.22,36.83,74.292,4.841143745217691
Lebanon,6082,50149,8571.4,7.0,6.0,87.8,3.2,6.4,2.6,87,106.18,53.61,50.84,64.28,13.95,0.79,61.65,46.91,78.833,4.59676966111758
Lithuania,2890,41402,14383.7,9.2,-1.3,66.5,-0.5,6.6,4.6,26,130.28,51.67,59.97,68.74,14.19,1.12,46.73,30.69,75.4804878048781,1.71553862681485
Malaysia,31624,296284,9768.4,3.3,1.8,74.7,2.7,4.2,5.0,1272,51.65,73.34,35.25,65.99,9.53,1.37,40.24,26.32,75.828,1.11654055241519
Mexico,129163,1140724,8980.9,4.1,1.4,79.2,1.6,6.3,5.3,1162,129.06,60.08,49.68,70.11,6.94,1.16,29.81,19.53,74.947,0.502372222667342
Netherlands,17036,750318,44332.1,5.6,0.3,90.5,1.0,10.9,5.5,40,175.23,86.52,70.11,82.5,8.52,1.78,72.47,53.29,81.7609756097561,1.15852698874429
New Zealand,4706,173417,38294.3,5.5,1.1,86.3,1.0,11.0,6.4,199,184.74,89.87,61.22,70.58,8.14,1.56,80.77,58.26,81.65853658536591,1.2084632895300902
Norway,5305,386578,74185.5,5.1,1.2,80.5,1.3,9.7,7.4,64,165.93,105.58,54.31,74.19,7.9,1.96,106.31,74.47,82.609756097561,1.6178237818885401
Pakistan,197016,266458,1410.4,5.9,2.1,38.8,2.8,2.6,2.6,140,93.41,39.95,45.62,59.05,12.09,0.64,27.18,16.57,66.947,3.76619210655443
Philippines,104918,292449,2904.2,5.9,1.6,44.4,1.3,4.7,...,783,56.87,36.0,60.23,69.16,16.91,0.61,34.71,21.58,70.952,1.1975353534869098
Poland,38171,477066,12355.5,5.3,-~0.0,60.5,-0.1,6.4,4.9,58,150.21,71.75,68.47,61.46,10.12,1.37,38.15,26.54,77.7536585365854,1.8959838691023898
Portugal,10330,199122,19239.2,10.5,-0.4,63.5,1.0,9.5,5.1,281,178.43,62.72,64.61,70.31,8.85,1.64,49.19,33.66,81.42439024390251,1.6699769206106498
Qatar,2639,164641,73653.4,0.3,6.6,99.2,6.0,2.2,3.6,39,132.37,111.28,84.3,66.14,6.19,2.12,69.2,68.06,79.98100000000001,""
Republic of Korea,50982,1377873,27396.7,3.6,0.4,82.5,0.7,7.4,5.1,111,162.49,102.38,74.73,83.2,12.38,1.17,75.41,49.82,82.62682926829271,2.56884353517412
Romania,19679,177956,9120.7,7.1,-0.6,54.6,~0.0,5.6,3.1,104,143.04,53.44,72.05,53.11,10.79,1.2,35.63,23.15,75.30975609756099,1.71954054901384
Russian Federation,143990,1326016,9243.3,5.8,0.1,74.0,-0.1,7.1,3.9,235,85.93,48.27,53.95,56.4,13.55,0.52,42.01,30.3,72.4319512195122,4.23340736959348
Saudi Arabia,32938,653219,20710.6,5.5,2.8,83.1,2.1,4.7,...,131,146.41,138.05,76.35,60.41,2.85,4.75,48.37,32.07,74.874,10.2513563494886
Serbia,8791,37160,5238.6,15.5,-0.4,55.6,-0.3,10.4,4.2,71,133.43,40.8,61.38,53.86,17.87,0.7,33.79,21.07,75.5390243902439,1.95935588331478
Singapore,5709,292734,52239.0,2.0,1.7,100.0,2.0,4.9,2.9,293,86.5,92.7,83.42,69.87,21.63,0.74,82.41,76.57,83.0951219512195,3.1548782818950403
Slovakia,5448,87268,16082.5,9.9,0.1,53.6,-0.3,8.1,4.2,54,152.55,64.75,69.82,62.63,9.85,1.62,44.9,31.29,77.16585365853659,1.10193325763504
Slovenia,2080,42777,20689.8,8.1,0.3,49.7,0.1,9.2,5.5,143,175.45,78.23,75.95,64.35,8.34,1.66,53.24,34.46,81.0292682926829,0.9820473470246899
South Africa,56717,314571,5773.0,26.0,1.4,64.8,1.6,8.8,6.0,581,144.72,98.96,24.28,61.72,3.58,2.38,43.12,30.28,63.538000000000004,1.04366339589233
Spain,46354,1192955,25865.4,18.3,-0.2,79.6,0.7,9.0,4.3,617,183.65,87.87,68.72,76.65,8.26,1.92,54.98,37.65,83.28292682926829,1.2259930602176599
Sri Lanka,20877,82316,3973.7,5.2,0.5,18.4,0.8,3.5,2.2,587,88.99,30.28,65.43,80.04,17.49,0.42,33.47,21.62,76.648,2.14799913812899
Sweden,9911,495694,50687.5,7.3,0.8,85.8,0.8,11.9,7.7,54,172.74,107.23,53.35,70.64,11.77,1.4,75.88,52.39,82.409756097561,1.0335017217020899
Switzerland,8476,670790,80831.1,4.6,1.2,73.9,1.1,11.7,5.1,74,173.54,95.35,77.55,71.04,14.04,1.22,122.06,90.68,83.55121951219509,0.681602395155031
Thailand,69038,395168,5814.8,0.6,0.4,50.4,3.0,4.1,4.1,611,57.21,34.28,50.22,80.66,24.43,0.47,43.71,29.92,76.683,1.3685609353213
